StartOfMonth,Scam___Contact_Mode,Amount_lost,Number_of_reports,Average_report,Average_loss,Group_Count,Category_ID,Complainant_ID,Report_ID
2020-04-01,Email,10430.0,7,7,1490,1,9,8,63
2020-04-01,Phone call,299.0,8,8,37,1,9,6,64
2020-03-01,Phone call,39.0,4,4,10,1,9,2,65
2020-01-01,Phone call,328.0,6,6,55,1,9,8,66
2020-06-01,Phone call,19.0,15,15,1,1,9,11,67
2020-03-01,Phone call,4968.0,10,10,497,1,9,7,68
2020-06-01,Phone call,81560.0,31,31,2631,1,10,2,69
2020-06-01,Internet,38285.0,3,3,12762,1,11,7,70
2020-01-01,Phone call,27888.0,4,4,6972,1,11,1,71
2020-02-01,Phone call,86490.0,4,4,21622,1,11,1,72
2020-04-01,Phone call,326519.0,4,4,81630,1,11,1,73
2020-05-01,Phone call,31180.0,3,3,10393,1,11,5,74
2020-04-01,Phone call,31724.0,5,5,6345,1,11,6,75
2020-06-01,Phone call,76809.0,4,4,19202,1,11,2,76
2020-01-01,Social media/Online forums,4400.0,2,2,2200,1,12,2,77
2020-05-01,Internet,400000.0,4,4,100000,1,12,7,78
2020-02-01,Internet,900.0,2,2,450,1,12,12,79
2020-04-01,Internet,3.0,2,2,2,1,13,1,80
2020-02-01,Social media/Online forums,3.0,2,2,2,1,13,5,81
2020-04-01,Social media/Online forums,9950.0,3,3,3317,1,13,4,82
2020-06-01,Social media/Online forums,0.0,2,2,0,1,13,7,83
2020-02-01,Email,21946.0,3,3,7315,1,11,1,84
2020-04-01,Email,315080.0,2,2,157540,1,11,1,85
2020-02-01,Email,450.0,6,6,75,1,11,2,86
2020-02-01,Email,378.0,3,3,126,1,11,3,87
2020-05-01,Email,387.0,5,5,77,1,13,3,88
2020-01-01,In person,1120.0,6,6,187,1,14,6,89
2020-02-01,In person,850.0,4,4,212,1,14,2,90
2020-01-01,Email,348.0,11,11,32,1,14,3,91
2020-03-01,Email,500.0,8,8,62,1,14,7,92
2020-04-01,Email,216.0,22,22,10,1,14,7,93
2020-06-01,Email,169.0,8,8,21,1,14,7,94
2020-01-01,Phone call,758.0,10,10,76,1,14,1,95
2020-06-01,Phone call,400.0,15,15,27,1,14,1,96
2020-05-01,Internet,50000.0,2,2,25000,1,12,2,97
2020-01-01,Internet,10000.0,2,2,5000,1,12,3,98
2020-06-01,Internet,90000.0,2,2,45000,1,12,6,99
2020-01-01,Internet,800.0,2,2,400,1,12,12,100
2020-01-01,Internet,200.0,3,3,67,1,12,4,101
2020-04-01,Internet,1073.0,3,3,358,1,11,4,102
2020-04-01,Internet,451.0,2,2,226,1,11,1,103
2020-01-01,Internet,380.0,2,2,190,1,11,5,104
2020-02-01,Internet,10600.0,3,3,3533,1,11,5,105
2020-01-01,Internet,8700.0,2,2,4350,1,11,3,106
2020-04-01,Internet,138181.0,4,4,34545,1,11,3,107
2020-06-01,Internet,40810.0,3,3,13603,1,11,3,108
2020-04-01,Mobile apps,24000.0,2,2,12000,1,13,2,109
2020-06-01,Social media/Online forums,16000.0,2,2,8000,1,15,7,110
2020-02-01,Social media/Online forums,5000.0,2,2,2500,1,13,4,111
2020-05-01,Social media/Online forums,24750.0,4,4,6188,1,13,7,112
2020-04-01,Social media/Online forums,972.0,2,2,486,1,11,10,113
2020-05-01,Social media/Online forums,20000.0,2,2,10000,1,12,5,114
2020-06-01,Social media/Online forums,5000.0,2,2,2500,1,12,5,115
2020-01-01,Social media/Online forums,7000.0,2,2,3500,1,12,6,116
2020-05-01,Social media/Online forums,2100.0,3,3,700,1,12,12,117
2020-06-01,Social media/Online forums,1800.0,4,4,450,1,12,12,118
2020-01-01,Phone call,25.0,2,2,12,1,16,7,119
2020-06-01,Phone call,55000.0,2,2,27500,1,15,3,120
2020-05-01,Phone call,14680.0,2,2,7340,1,15,6,121
2020-01-01,Phone call,96000.0,3,3,32000,1,11,4,122
2020-02-01,Phone call,437432.0,2,2,218716,1,11,4,123
2020-05-01,Phone call,51993.0,3,3,17331,1,11,6,124
2020-02-01,Phone call,3674.0,4,4,918,1,11,7,125
2020-05-01,Phone call,525.0,2,2,262,1,11,7,126
2020-06-01,Phone call,200000.0,2,2,100000,1,11,7,127
2020-01-01,Text message,86.0,2,2,43,1,13,5,128
2020-01-01,Text message,30000.0,3,3,10000,1,13,4,129
2020-01-01,Text message,132.0,4,4,33,1,13,7,130
2020-01-01,Email,295.0,9,9,33,1,13,5,131
2020-01-01,Email,88.0,2,2,44,1,13,2,132
2020-02-01,Email,8000.0,2,2,4000,1,13,4,133
2020-02-01,Email,28600.0,2,2,14300,1,13,3,134
2020-02-01,Email,500.0,2,2,250,1,13,1,135
2020-04-01,Email,8500.0,11,11,773,1,13,5,136
2020-04-01,Email,2400.0,2,2,1200,1,13,10,137
2020-06-01,Email,21250.0,2,2,10625,1,13,6,138
2020-06-01,Email,168.0,12,12,14,1,13,2,139
2020-02-01,Email,55000.0,3,3,18333,1,12,13,140
2020-05-01,Email,3030.0,2,2,1515,1,12,6,141
2020-01-01,Email,6200.0,3,3,2067,1,12,5,142
2020-04-01,Email,1000000.0,3,3,333333,1,11,2,143
2020-05-01,Email,0.0,2,2,0,1,11,6,144
2020-06-01,Email,405.0,2,2,202,1,11,2,145
2020-02-01,Email,50500.0,6,6,8417,1,11,5,146
2020-04-01,Email,105000.0,2,2,52500,1,11,4,147
2020-06-01,Email,0.0,2,2,0,1,14,14,148
2020-02-01,In person,1190.0,3,3,397,1,14,3,149
2020-03-01,In person,30.0,2,2,15,1,14,7,150
2020-04-01,Social media/Online forums,100.0,2,2,50,1,14,3,151
2020-03-01,Internet,400.0,5,5,80,1,14,3,152
2020-02-01,Phone call,18.0,4,4,4,1,14,15,153
2020-01-01,Email,121.0,3,3,40,1,9,16,154
2020-06-01,Email,0.0,8,8,0,1,9,16,155
2020-02-01,Phone call,729.0,2,2,364,1,9,9,156
2020-05-01,Mail,147.0,2,2,74,1,9,8,157
2020-05-01,Mail,80.0,2,2,40,1,9,5,158
2020-02-01,Internet,12000.0,2,2,6000,1,9,7,159
2020-03-01,Internet,315.0,3,3,105,1,9,7,160
2020-01-01,Internet,75.0,2,2,38,1,9,5,161
2020-02-01,Internet,669.0,3,3,223,1,9,5,162
2020-04-01,Internet,167.0,3,3,56,1,9,5,163
2020-06-01,Internet,60.0,3,3,20,1,9,5,164
2020-01-01,Internet,338.0,3,3,113,1,9,9,165
2020-06-01,Internet,55.0,2,2,28,1,8,17,166
2020-01-01,Internet,63.0,2,2,32,1,8,15,167
2020-02-01,Social media/Online forums,148.0,3,3,49,1,8,8,168
2020-05-01,Internet,900.0,4,4,225,1,8,9,169
2020-06-01,Email,4500.0,2,2,2250,1,8,1,170
2020-06-01,Social media/Online forums,32.0,2,2,16,1,8,10,171
2020-06-01,Mail,216.0,2,2,108,1,8,5,172
2020-02-01,Social media/Online forums,39.0,2,2,20,1,8,5,173
2020-06-01,Social media/Online forums,119.0,2,2,60,1,8,4,174
2020-01-01,Internet,107.0,3,3,36,1,8,5,175
2020-04-01,Internet,1007.0,5,5,201,1,8,5,176
2020-03-01,Internet,296.0,4,4,74,1,8,4,177
2020-05-01,Internet,104.0,2,2,52,1,8,4,178
2020-04-01,Text message,170.0,2,2,85,1,8,4,179
2020-01-01,Internet,1269.0,6,6,212,1,8,2,180
2020-03-01,Internet,860.0,4,4,215,1,8,2,181
2020-04-01,Internet,640.0,5,5,128,1,8,2,182
2020-05-01,Internet,7078.0,5,5,1416,1,8,2,183
2020-04-01,Social media/Online forums,56.0,2,2,28,1,8,6,184
2020-02-01,Internet,2799.0,6,6,466,1,8,3,185
2020-04-01,Internet,2831.0,8,8,354,1,8,3,186
2020-06-01,Internet,3417.0,6,6,570,1,8,3,187
2020-02-01,Social media/Online forums,65.0,3,3,22,1,8,3,188
2020-06-01,Social media/Online forums,163.0,3,3,54,1,8,3,189
2020-03-01,Social media/Online forums,73.0,2,2,36,1,8,7,190
2020-06-01,Social media/Online forums,944.0,4,4,236,1,8,7,191
2020-01-01,Internet,2381.0,3,3,794,1,8,7,192
2020-04-01,Internet,808.0,5,5,162,1,8,7,193
2020-05-01,Internet,721.0,4,4,180,1,8,7,194
2020-02-01,Internet,11500.0,2,2,5750,1,7,3,195
2020-03-01,Internet,18640.0,3,3,6213,1,7,3,196
2020-05-01,Internet,4000.0,2,2,2000,1,7,6,197
2020-05-01,Internet,695.0,2,2,348,1,7,2,198
2020-02-01,Text message,350.0,2,2,175,1,7,6,199
2020-06-01,Text message,120.0,2,2,60,1,7,2,200
2020-03-01,Social media/Online forums,1000.0,2,2,500,1,7,5,201
2020-04-01,Internet,283.0,2,2,142,1,7,4,202
2020-06-01,Internet,1000.0,2,2,500,1,7,5,203
2020-06-01,Internet,342.0,3,3,114,1,7,1,204
2020-06-01,Phone call,399.0,2,2,200,1,7,16,205
2020-04-01,Email,3100.0,2,2,1550,1,7,1,206
2020-05-01,Email,1000.0,2,2,500,1,7,10,207
2020-06-01,Email,5.0,2,2,2,1,7,1,208
2020-01-01,Email,654.0,3,3,218,1,7,7,209
2020-06-01,Email,350.0,6,6,58,1,7,7,210
2020-05-01,Email,4250.0,3,3,1417,1,5,5,211
2020-03-01,Phone call,9650.0,2,2,4825,1,5,6,212
2020-06-01,In person,1500.0,2,2,750,1,5,2,213
2020-02-01,Phone call,780.0,2,2,390,1,6,5,214
2020-01-01,Email,274.0,2,2,137,1,17,2,215
2020-02-01,Email,104.0,2,2,52,1,17,4,216
2020-03-01,Email,16.0,2,2,8,1,17,2,217
2020-03-01,Email,150.0,3,3,50,1,17,10,218
2020-06-01,Email,358.0,2,2,179,1,17,6,219
2020-06-01,Email,351.0,2,2,176,1,17,5,220
2020-05-01,Internet,373.0,2,2,186,1,17,4,221
2020-06-01,Internet,548.0,3,3,183,1,17,7,222
2020-05-01,Social media/Online forums,518.0,3,3,173,1,17,7,223
2020-03-01,In person,21509.0,2,2,10754,1,4,6,224
2020-01-01,Internet,299.0,2,2,150,1,4,3,225
2020-02-01,Internet,89.0,3,3,30,1,4,3,226
2020-03-01,Internet,5849.0,3,3,1950,1,4,3,227
2020-04-01,Internet,699.0,4,4,175,1,4,3,228
2020-01-01,Internet,559.0,2,2,280,1,4,5,229
2020-04-01,Internet,340.0,2,2,170,1,4,5,230
2020-03-01,Internet,2045.0,3,3,682,1,4,6,231
2020-03-01,Email,3500.0,2,2,1750,1,4,9,232
2020-02-01,Email,6000.0,4,4,1500,1,4,6,233
2020-02-01,Phone call,1460.0,2,2,730,1,4,14,234
2020-05-01,Phone call,15000.0,2,2,7500,1,4,14,235
2020-01-01,Phone call,196.0,2,2,98,1,4,12,236
2020-05-01,Text message,0.0,3,3,0,1,3,3,237
2020-02-01,Internet,900.0,2,2,450,1,3,3,238
2020-06-01,Phone call,4999.0,2,2,2500,1,3,9,239
2020-04-01,Social media/Online forums,975.0,2,2,488,1,2,7,240
2020-05-01,Social media/Online forums,2500.0,4,4,625,1,2,7,241
2020-02-01,Internet,5.0,2,2,2,1,1,4,242
2020-05-01,Internet,807.0,2,2,404,1,1,6,243
2020-05-01,Internet,66.0,2,2,33,1,1,2,244
2020-03-01,Internet,526.0,3,3,175,1,8,7,245
2020-06-01,Internet,1110.0,3,3,370,1,8,7,246
2020-01-01,Internet,2989.0,3,3,996,1,8,3,247
2020-03-01,Internet,62.0,1,1,62,1,8,3,248
2020-03-01,Internet,1805.0,2,2,902,1,8,6,249
2020-05-01,Internet,603.0,2,2,302,1,8,6,250
2020-01-01,Internet,1299.0,5,5,260,1,8,4,251
2020-02-01,Internet,99.0,1,1,99,1,8,4,252
2020-04-01,Internet,731.0,2,2,366,1,8,4,253
2020-02-01,Internet,225.0,2,2,112,1,8,5,254
2020-03-01,Internet,1557.0,3,3,519,1,8,5,255
2020-05-01,Internet,897.0,2,2,448,1,8,5,256
2020-04-01,Internet,7000.0,1,1,7000,1,8,18,257
2020-01-01,Internet,400.0,1,1,400,1,8,1,258
2020-02-01,Internet,100.0,1,1,100,1,8,1,259
2020-03-01,Internet,20612.0,3,3,6871,1,8,1,260
2020-04-01,Internet,12480.0,2,2,6240,1,8,1,261
2020-05-01,Internet,885.0,3,3,295,1,8,1,262
2020-02-01,Internet,89.0,1,1,89,1,8,10,263
2020-03-01,Internet,100.0,1,1,100,1,8,10,264
2020-05-01,Internet,197.0,1,1,197,1,8,10,265
2020-02-01,Internet,98.0,1,1,98,1,8,8,266
2020-03-01,Internet,117.0,2,2,58,1,8,8,267
2020-04-01,Internet,79.0,1,1,79,1,8,8,268
2020-01-01,Internet,577.0,2,2,288,1,8,9,269
2020-03-01,Internet,66.0,1,1,66,1,8,9,270
2020-06-01,Internet,443.0,2,2,222,1,8,9,271
2020-01-01,Internet,1716.0,2,2,858,1,8,17,272
2020-05-01,Internet,114.0,1,1,114,1,8,17,273
2020-06-01,Internet,1000.0,1,1,1000,1,8,11,274
2020-04-01,Internet,441.0,2,2,220,1,8,14,275
2020-01-01,Internet,69.0,1,1,69,1,8,16,276
2020-05-01,Internet,1046.0,2,2,523,1,8,15,277
2020-01-01,Social media/Online forums,116.0,1,1,116,1,8,8,278
2020-06-01,Social media/Online forums,53.0,1,1,53,1,8,8,279
2020-01-01,Social media/Online forums,278.0,1,1,278,1,8,10,280
2020-01-01,Social media/Online forums,171.0,1,1,171,1,8,5,281
2020-01-01,Social media/Online forums,159.0,2,2,80,1,8,4,282
2020-03-01,Social media/Online forums,49.0,1,1,49,1,8,4,283
2020-04-01,Social media/Online forums,331.0,1,1,331,1,8,4,284
2020-06-01,Social media/Online forums,429.0,2,2,214,1,8,2,285
2020-01-01,Social media/Online forums,72.0,1,1,72,1,8,6,286
2020-04-01,Social media/Online forums,207.0,2,2,104,1,8,3,287
2020-01-01,Social media/Online forums,185.0,1,1,185,1,8,7,288
2020-05-01,Social media/Online forums,709.0,3,3,236,1,8,7,289
2020-03-01,Email,9800.0,5,5,1960,1,8,3,290
2020-03-01,Email,318.0,4,4,80,1,8,2,291
2020-01-01,Email,73.0,7,7,10,1,8,5,292
2020-04-01,Email,3600.0,4,4,900,1,8,5,293
2020-05-01,Email,17000.0,3,3,5667,1,8,5,294
2020-06-01,Email,13500.0,2,2,6750,1,8,5,295
2020-01-01,Email,346.0,2,2,173,1,8,1,296
2020-05-01,Email,299.0,1,1,299,1,8,1,297
2020-02-01,Email,90.0,1,1,90,1,8,9,298
2020-05-01,Email,189.0,1,1,189,1,8,9,299
2020-03-01,Email,373.0,2,2,186,1,8,14,300
2020-06-01,Email,563.0,1,1,563,1,8,14,301
2020-02-01,Email,3000.0,1,1,3000,1,8,11,302
2020-02-01,Email,550.0,1,1,550,1,8,8,303
2020-04-01,Email,650.0,1,1,650,1,8,8,304
2020-05-01,Email,1211.0,1,1,1211,1,8,8,305
2020-01-01,Email,80.0,3,3,27,1,8,4,306
2020-04-01,Email,10035.0,3,3,3345,1,8,4,307
2020-05-01,Email,85.0,1,1,85,1,8,4,308
2020-06-01,Email,4620.0,9,9,513,1,8,4,309
2020-03-01,Email,253.0,1,1,253,1,8,6,310
2020-05-01,Email,1000.0,1,1,1000,1,8,6,311
2020-06-01,Email,4765.0,6,6,794,1,8,6,312
2020-03-01,Email,17000.0,4,4,4250,1,8,7,313
2020-05-01,Email,18.0,5,5,4,1,8,7,314
2020-06-01,Email,1000.0,1,1,1000,1,8,7,315
2020-01-01,Mobile apps,287.0,1,1,287,1,8,3,316
2020-05-01,Mobile apps,100.0,1,1,100,1,8,2,317
2020-03-01,Mobile apps,49.0,1,1,49,1,8,4,318
2020-02-01,Mobile apps,149.0,1,1,149,1,8,1,319
2020-02-01,Mobile apps,42.0,1,1,42,1,8,11,320
2020-01-01,Text message,1500.0,1,1,1500,1,8,9,321
2020-02-01,Text message,59.0,1,1,59,1,8,8,322
2020-06-01,Text message,130.0,1,1,130,1,8,16,323
2020-02-01,Text message,0.0,4,4,0,1,8,5,324
2020-02-01,Text message,80.0,1,1,80,1,8,4,325
2020-05-01,Text message,739.0,2,2,370,1,8,4,326
2020-06-01,Text message,500.0,3,3,167,1,8,7,327
2020-02-01,Phone call,1000.0,4,4,250,1,8,6,328
2020-05-01,Phone call,1109.0,2,2,554,1,8,2,329
2020-03-01,Phone call,299.0,1,1,299,1,8,4,330
2020-03-01,Phone call,282.0,1,1,282,1,8,10,331
2020-02-01,Mail,125.0,1,1,125,1,8,10,332
2020-05-01,Mail,75.0,1,1,75,1,8,4,333
2020-05-01,Mail,90.0,1,1,90,1,8,6,334
2020-04-01,Mail,34.0,1,1,34,1,8,7,335
2020-01-01,In person,7900.0,1,1,7900,1,8,6,336
2020-03-01,Mail,6757.0,1,1,6757,1,7,5,337
2020-04-01,Mail,820.0,1,1,820,1,7,5,338
2020-06-01,Mail,800.0,1,1,800,1,7,1,339
2020-05-01,In person,5000.0,1,1,5000,1,7,3,340
2020-05-01,In person,2772.0,1,1,2772,1,7,19,341
2020-02-01,In person,2000.0,1,1,2000,1,7,2,342
2020-05-01,Phone call,2000.0,1,1,2000,1,7,7,343
2020-03-01,Phone call,400.0,1,1,400,1,7,5,344
2020-06-01,Phone call,40850.0,2,2,20425,1,7,2,345
2020-03-01,Text message,150.0,1,1,150,1,7,11,346
2020-02-01,Text message,350.0,1,1,350,1,7,7,347
2020-04-01,Internet,640.0,1,1,640,1,7,5,348
2020-05-01,Internet,2850.0,1,1,2850,1,7,5,349
2020-02-01,Internet,5400.0,2,2,2700,1,7,8,350
2020-01-01,Internet,220.0,1,1,220,1,7,9,351
2020-05-01,Internet,24440.0,2,2,12220,1,7,9,352
2020-06-01,Internet,40.0,1,1,40,1,7,15,353
2020-04-01,Internet,1600.0,1,1,1600,1,7,6,354
2020-06-01,Internet,23700.0,3,3,7900,1,7,2,355
2020-01-01,Internet,530.0,2,2,265,1,7,7,356
2020-01-01,Email,1000.0,1,1,1000,1,7,17,357
2020-03-01,Email,13000.0,8,8,1625,1,7,5,358
2020-06-01,Email,7239.0,8,8,905,1,7,5,359
2020-02-01,Email,1050.0,1,1,1050,1,7,2,360
2020-03-01,Email,24735.0,3,3,8245,1,7,2,361
2020-05-01,Email,500.0,7,7,71,1,7,2,362
2020-04-01,Email,9400.0,2,2,4700,1,7,3,363
2020-03-01,Email,350.0,3,3,117,1,7,4,364
2020-04-01,Email,900.0,3,3,300,1,7,4,365
2020-05-01,Email,5000.0,2,2,2500,1,7,4,366
2020-01-01,Email,154.0,1,1,154,1,7,10,367
2020-04-01,Email,1000.0,1,1,1000,1,7,10,368
2020-02-01,Email,11050.0,1,1,11050,1,7,6,369
2020-03-01,Email,250.0,1,1,250,1,7,6,370
2020-04-01,Email,2050.0,2,2,1025,1,7,6,371
2020-04-01,Social media/Online forums,240.0,1,1,240,1,7,10,372
2020-06-01,Social media/Online forums,82.0,1,1,82,1,7,6,373
2020-02-01,Social media/Online forums,120.0,2,2,60,1,7,3,374
2020-01-01,Social media/Online forums,189.0,1,1,189,1,7,7,375
2020-05-01,Social media/Online forums,100.0,1,1,100,1,7,7,376
2020-01-01,Email,870.0,14,14,62,1,9,7,377
2020-04-01,Email,11797.0,23,23,513,1,9,7,378
2020-05-01,Email,15023.0,11,11,1366,1,9,7,379
2020-06-01,Email,164.0,12,12,14,1,9,7,380
2020-01-01,Email,449.0,19,19,24,1,9,3,381
2020-02-01,Email,4653.0,13,13,358,1,9,3,382
2020-03-01,Email,288.0,21,21,14,1,9,3,383
2020-04-01,Email,389.0,20,20,19,1,9,3,384
2020-05-01,Email,20704.0,18,18,1150,1,9,3,385
2020-06-01,Email,44.0,9,9,5,1,9,3,386
2020-01-01,Email,2320.0,16,16,145,1,9,2,387
2020-02-01,Email,512.0,9,9,57,1,9,2,388
2020-04-01,Email,101.0,17,17,6,1,9,2,389
2020-05-01,Email,2001.0,12,12,167,1,9,2,390
2020-01-01,Email,6250.0,9,9,694,1,9,6,391
2020-04-01,Email,2995.0,4,4,749,1,9,6,392
2020-06-01,Email,70.0,6,6,12,1,9,6,393
2020-01-01,Email,220.0,23,23,10,1,9,5,394
2020-05-01,Email,2285.0,17,17,134,1,9,5,395
2020-06-01,Email,15639.0,13,13,1203,1,9,5,396
2020-03-01,Email,7200.0,6,6,1200,1,9,10,397
2020-06-01,Email,56313.0,7,7,8045,1,9,10,398
2020-01-01,Email,65.0,8,8,8,1,9,1,399
2020-03-01,Email,19297.0,6,6,3216,1,9,1,400
2020-04-01,Email,39.0,6,6,6,1,9,1,401
2020-05-01,Email,318.0,5,5,64,1,9,1,402
2020-06-01,Email,161.0,6,6,27,1,9,8,403
2020-01-01,Email,7500.0,4,4,1875,1,9,9,404
2020-04-01,Email,59.0,6,6,10,1,9,9,405
2020-03-01,Email,1.0,2,2,0,1,9,11,406
2020-06-01,Email,3.0,1,1,3,1,9,11,407
2020-05-01,Email,0.0,1,1,0,1,9,15,408
2020-06-01,Email,333.0,2,2,166,1,9,15,409
2020-02-01,Phone call,359.0,1,1,359,1,9,17,410
2020-06-01,Mail,32.0,1,1,32,1,9,11,411
2020-04-01,Internet,139.0,1,1,139,1,9,8,412
2020-05-01,Internet,659.0,1,1,659,1,9,8,413
2020-02-01,Internet,412.0,1,1,412,1,9,9,414
2020-06-01,Internet,449.0,1,1,449,1,9,9,415
2020-03-01,Text message,4.0,1,1,4,1,9,1,416
2020-06-01,Fax,0.0,1,1,0,1,9,1,417
2020-02-01,Mail,398.0,2,2,199,1,9,10,418
2020-01-01,Internet,150.0,1,1,150,1,9,1,419
2020-05-01,Internet,1740.0,1,1,1740,1,9,1,420
2020-02-01,Text message,59.0,8,8,7,1,9,5,421
2020-01-01,Social media/Online forums,2250.0,1,1,2250,1,9,4,422
2020-02-01,Social media/Online forums,501.0,1,1,501,1,9,4,423
2020-01-01,Mobile apps,80.0,1,1,80,1,9,5,424
2020-01-01,In person,2700.0,1,1,2700,1,9,4,425
2020-01-01,Mail,300.0,1,1,300,1,9,4,426
2020-04-01,Phone call,400.0,2,2,200,1,9,4,427
2020-05-01,Phone call,300.0,11,11,27,1,9,4,428
2020-02-01,Phone call,276.0,7,7,39,1,9,5,429
2020-06-01,Phone call,2500.0,10,10,250,1,9,5,430
2020-02-01,Internet,44.0,1,1,44,1,9,4,431
2020-03-01,Internet,29.0,1,1,29,1,9,4,432
2020-04-01,Internet,130.0,1,1,130,1,9,4,433
2020-04-01,Mobile apps,67.0,1,1,67,1,9,2,434
2020-05-01,Text message,330.0,3,3,110,1,9,2,435
2020-01-01,In person,1000.0,1,1,1000,1,9,2,436
2020-02-01,In person,2750.0,1,1,2750,1,9,2,437
2020-02-01,Text message,5000.0,5,5,1000,1,9,6,438
2020-04-01,In person,14000.0,1,1,14000,1,9,6,439
2020-03-01,Social media/Online forums,290.0,1,1,290,1,9,6,440
2020-01-01,Internet,200.0,1,1,200,1,9,2,441
2020-03-01,Internet,160.0,1,1,160,1,9,2,442
2020-04-01,Internet,986.0,1,1,986,1,9,2,443
2020-05-01,Internet,89.0,1,1,89,1,9,2,444
2020-01-01,Internet,3296.0,1,1,3296,1,9,6,445
2020-02-01,Internet,181.0,1,1,181,1,9,6,446
2020-04-01,Internet,1510.0,1,1,1510,1,9,6,447
2020-06-01,Mail,5000.0,1,1,5000,1,9,3,448
2020-05-01,In person,1196.0,1,1,1196,1,9,3,449
2020-04-01,Text message,3.0,3,3,1,1,9,3,450
2020-01-01,In person,1500.0,1,1,1500,1,9,7,451
2020-06-01,Mobile apps,114.0,1,1,114,1,9,7,452
2020-04-01,Phone call,33550.0,11,11,3050,1,9,7,453
2020-01-01,Internet,14.0,1,1,14,1,9,3,454
2020-04-01,Internet,15.0,1,1,15,1,9,3,455
2020-05-01,Internet,360.0,2,2,180,1,9,3,456
2020-06-01,Internet,58.0,1,1,58,1,9,3,457
2020-05-01,Internet,123.0,1,1,123,1,9,7,458
2020-06-01,Internet,373.0,3,3,124,1,9,7,459
